"id","host_response_rate","host_response_time","host_is_superhost","neighbourhood_group_cleansed","property_type","room_type","accommodates","bathrooms","bedrooms","bed_type","price","weekly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","has_availability","last_review","review_scores_rating","instant_bookable","cancellation_policy","profit","days_listed"
"226677","100%","within a few hours",TRUE,"Beacon Hill","Apartment","Private room",2,3,1,"Real Bed","55.00","$400.00","$100.00","$20.00",1,"$15.00",2,TRUE,2020-05-05,96,FALSE,"moderate",315,7
"251922","100%","within a few hours",FALSE,"West Seattle","Guest suite","Entire home/apt",5,1,2,"Real Bed","73.00","$558.00","$250.00","$90.00",2,"$15.00",2,TRUE,2020-06-05,94,FALSE,"moderate",730,7
"260613","100%","within an hour",TRUE,"Ballard","Guest suite","Entire home/apt",2,1,1,"Real Bed","100.00","$900.00","$1,000.00","$100.00",1,"$10.00",1,TRUE,2020-02-16,98,TRUE,"moderate",900,9
"271509","100%","within an hour",TRUE,"Downtown","Condominium","Entire home/apt",6,1,2,"Real Bed","94.00",NA,"$500.00","$130.00",1,"$0.00",2,TRUE,2020-02-23,94,FALSE,"strict_14_with_grace_period",8976,99
"277416","91%","within a few hours",TRUE,"Downtown","Condominium","Entire home/apt",4,1,1,"Real Bed","139.00","$1,490.00","$300.00","$96.00",1,"$0.00",2,TRUE,2020-03-10,97,FALSE,"strict_14_with_grace_period",7748,52
"278830","100%","within a few hours",FALSE,"Queen Anne","House","Entire home/apt",6,2,3,"Real Bed","299.00",NA,"$2,000.00","$200.00",6,"$20.00",2,TRUE,2020-03-09,93,FALSE,"strict_14_with_grace_period",7917,25
"284087","100%","within an hour",TRUE,"Downtown","Condominium","Entire home/apt",6,1,2,"Real Bed","183.00","$1,200.00","$100.00","$95.00",4,"$0.00",1,TRUE,2020-04-01,96,TRUE,"moderate",8631,37
"286080","100%","within an hour",TRUE,"Downtown","Condominium","Entire home/apt",6,2,2,"Real Bed","74.00",NA,"$500.00","$130.00",1,"$0.00",2,TRUE,2020-06-08,96,FALSE,"strict_14_with_grace_period",10861,35
"299817","N/A","N/A",FALSE,"Capitol Hill","House","Entire home/apt",3,1.5,2,"Real Bed","125.00","$875.00","$350.00","$250.00",2,"$20.00",30,TRUE,2020-02-12,94,FALSE,"strict_14_with_grace_period",9375,75
"353039","100%","within a day",FALSE,"Downtown","Apartment","Entire home/apt",4,1,1,"Real Bed","155.00","$993.00","$0.00","$150.00",2,"$5.00",30,TRUE,2020-04-25,97,TRUE,"moderate",3131,31
"353347","100%","within an hour",FALSE,"West Seattle","House","Entire home/apt",6,1,2,"Real Bed","99.00","$1,650.00","$300.00","$125.00",1,"$15.00",5,TRUE,2020-06-15,97,FALSE,"strict_14_with_grace_period",6327,61
"356608","100%","within a day",FALSE,"Downtown","Apartment","Entire home/apt",6,2,2,"Real Bed","196.00","$1,224.00","$0.00","$150.00",4,"$10.00",3,TRUE,2020-03-04,96,FALSE,"moderate",13224,68
"365550","100%","within an hour",TRUE,"Downtown","Loft","Private room",2,1,1,"Real Bed","99.00",NA,"$250.00","$0.00",1,"$0.00",5,TRUE,2020-03-11,95,FALSE,"strict_14_with_grace_period",19470,167
"370361","100%","within a few hours",TRUE,"Other neighborhoods","House","Private room",2,1,1,"Real Bed","85.00","$550.00","$0.00","$50.00",2,"$0.00",3,TRUE,2020-03-09,99,FALSE,"moderate",5560,66
"387078","92%","within a few hours",FALSE,"Capitol Hill","Apartment","Entire home/apt",4,1,1,"Real Bed","119.00","$890.00","$200.00","$99.00",1,"$0.00",1,TRUE,2020-03-28,96,FALSE,"strict_14_with_grace_period",3870,30
